Echelle CIA (coefficient d'imprégnation anticholinergique);;; ;V1 octobre 2021;;;;
;;;;;;;;
DCI;Spécialité;Classe thérapeutique;Score CIA;;Source : Briet, J. 2015. « Coefficient d’Imprégnation Anticholinergique?: Mise au point d’un nouveau score et application en population psychiatrique. » Thèse de Pharmacie, Université de Dijon, 90p;;;
Acide Valproique;Depakine, Micropakine;Antiépileptique;1;;Echelle adaptée au marché français ;;;
Alimemazine;Theralène;Antihistaminique;1;;;;;
Alprazolam;Xanax;Anxiolytique;1;;;Signification du score ;;
Alverine;Meteospasmyl;Désordres gastro-intestinaux;1;;;Score = 1 --> potentiel anticholinergique faible ;;
Amantadine;Mantadix;Antiparkinsonien;2;;;Score = 2 --> potentiel anticholinergique modéré;;
Amitriptyline;Elavil, Laroxyl;Antidépresseur;3;;;Score = 3 --> potentiel anticholinergique fort  ;;
Amoxapine;Defanyl;Antidépresseur;3;;;;;
Ampicilline;Unacim;Antibactérien;1;;;;;
Atenolol;Betatop, Tenordate, Tenormine, Tenoretic;Betabloquant ;1;;;;;
Atropine;Atropine;Désordres gastro-intestinaux;3;;;;;
Azathioprine;Imurel;Immunosuppresseur;1;;;;;
Baclofene;Lioresal;Myorelaxant/ Sevrage alcoolique;2;;;;;
Biperidene;Akineton;Antiparkinsonien;3;;;;;
Bromocriptine;Parlodel;Antiparkinsonien;1;;;;;
Brompheniramine;Dimegan;Antihistaminique;3;;;;;
Bupropion;Zyban;Antidépresseur;1;;;;;
Captopril;Lopril, Captea, Ecazide;IEC;1;;;;;
Carbamazepine;Tegretol;Antiépileptique;2;;;;;
Carbidopa;Sinemet, Stalevo ;Antiparkinsonien;1;;;;;
Cefoxitine;Cefoxitine;Antibactérien;1;;;;;
Cetirizine;Virlix, Zyrtec;Antihistaminique;2;;;;;
Chlordiazepoxide;Librax;Anxiolytique;1;;;;;
Chlorpheniramine;Drill Rhume, Hexapneumine, Hexarhume, Humex rhume, Hymexlib;Antihistaminique;3;;;;;
Chlorpromazine;Largactil;Antipsychotique;3;;;;;
Chlorthalidone;Logroton, Tenoretic;Diurétique thiazidique;1;;;;;
Ciclosporine;Neoral, Sandimmum;Immunosuppresseur;1;;;;;
Cimetidine;Tagamet, Stomedine;Désordres gastro-intestinaux;2;;;;;
Citalopram;Seroplex, Seropram;Antidépresseur;1;;;;;
Clindamycine;Dalacine;Antibactérien;1;;;;;
Clomipramine;Anafranil;Antidépresseur;3;;;;;
Clonazepam;Rivotril;Antiépileptique;1;;;;;
Clorazepate;Tranxène ;Anxiolytique;1;;;;;
Clozapine;Leponex;Antipsychotique;3;;;;;
Codeine;Codenfan, Euphon, Codoliprane;Analgésique;1;;;;;
Colchicine;Colchimax;Antigoutteux;1;;;;;
Cyamemazine;Tercian;Antipsychotique;3;;;;;
Cyproheptadine;Periactine;Antihistaminique;3;;;;;
Desloratadine;Aerius, Dasselta;Antihistaminique;3;;;;;
Dexamethasone;Dectancyl;Corticoïde;1;;;;;
Dexchlorpheniramine;Polaramine, Celestamine, Rhinatux;Antihistaminique;3;;;;;
Diazepam;Valium;Anxiolytique;1;;;;;
Digoxine;Digoxine, Hemigoxine;Antiarythmique;1;;;;;
Diltiazem;Tildiem, Bitildiem, Monotildiem;Inhibiteur calcique;1;;;;;
Dimenhydrate;Nausicalm, Mercalm;Antinauséeux;3;;;;;
Diphenhydramine;Actifed rhume, Nautamine;Antihistaminique;3;;;;;
Disopyramide;Isorythm, Rythmodan;Antiarythmique;2;;;;;
Divalproate de sodium;Depakote;Normothymique;1;;;;;
Domperidone;Motilium, Perydis, Oroperydis;Désordres gastro-intestinaux;1;;;;;
Dosulepine;Prothiaden;Antidépresseur;2;;;;;
Doxepine;Quitaxon;Antidépresseur;3;;;;;
Doxylamine;Dolirhumepro, Donormyl, Noctyl, Lidene;Antihistaminique;2;;;;;
Duloxetine;Cymbalta;Antidépresseur;1;;;;;
Entacapone;Comtan, Stalevo;Antiparkinsonien;1;;;;;
Famotidine;Pepcidac, Pepsiduo;Désordres gastro-intestinaux;1;;;;;
Fentanyl;Abstral, Actiq, Effentora, Durogesic, Breakyl, Instanyl, Matrifen, Pecfent;Analgésique;1;;;;;
Fexofenadine;Telfast;Antihistaminique;2;;;;;
Flavoxate;Urispas;Antispasmodique urinaire;3;;;;;
Fluoxetine;Prozac;Antidépresseur;1;;;;;
Fluphenazine;Moditen, Modecate;Antipsychotique;3;;;;;
Fluvoxamine;Floxyfral;Antidépresseur;1;;;;;
Furosemide;Lasilix, Logirene;Diurétique;1;;;;;
Gentamicine;Gentalline;Antibactérien;1;;;;;
Haloperidol;Haldol;Antipsychotique;1;;;;;
Hydrocortisone;Hydrocortisone;Corticoïde;1;;;;;
Hydroxyzine;Atarax;Anxiolytique ;3;;;;;
Imipramine;Tofranil;Antidépresseur;3;;;;;
Ipratropium;Atrovent, Bronchodual;Antiasthmatique;3;;;;;
Isosorbide;Isocard, Langoran, Monicor, Risordan;Antiarythmique;1;;;;;
Levodopa;Modopar, Sinemet, Stalevo;Antiparkinsonien;1;;;;;
Levomepromazine;Nozinan;Antipsychotique;2;;;;;
Lithium;Teralithe;Antipsychotique;1;;;;;
Loperamide;Imodium, Arestal, Diaretyl, Dyspagon, Ercestop, Peracel;Désordres gastro-intestinaux;2;;;;;
Loratadine;Clarytine, Doliallergie, Zaprilis;Antihistaminique;2;;;;;
Lorazepam;Temesta;Anxiolytique;1;;;;;
Loxapine;Loxapac;Antipsychotique;2;;;;;
Maprotiline;Ludiomil;Antidépresseur;3;;;;;
Meclozine;Agyrax;Antivertigineux/ Antiémétique;3;;;;;
