Echelle ACB (Anticholinergic Cognitive Burden /Echelle du risque cognitif lié aux anticholinergiques);;;;;;V1 octobre 2021
;;;;;;
DCI;Spécialité;Classe thérapeutique;Score ACB;;Source : Boustani, M. 2008. « Impact of anticholinergics on the aging brain: a review and practical application ». Aging Health 4 (3): 311?20;
Alimemazine;Theralène;Antihistaminique;1;;Echelle adaptée au marché américain;
Alprazolam;Xanax;Anxiolytique;1;;;
Alverine;Meteospasmyl;Désordres gastro-intestinaux;1;;;Signification du score
Amantadine;Mantadix;Antiparkinsonien;2;;;Score = 1 --> possible effet anticholinergique cognitif (preuve in vitro sans preuve clinique)
Amitriptyline;Elavil, Laroxyl;Antidépresseur;3;;;Score = 2  --> effet anticholinergique cognitif modéré cliniquement significatif
Amoxapine;Defanyl;Antidépresseur;3;;;Score = 3 --> effet anticholinergique cognitif sévère cliniquement significatif
Atenolol;Betatop, Tenordate, Tenormine, Tenoretic;Betabloquant ;1;;;
Atropine;Atropine;Désordres gastro-intestinaux;3;;;
Belladonna;Homéopathie;;2;;;
Benztropine;Non commercialisé en France;Antiparkinsonien;3;;;
Brompheniramine;;;3;;;
Brompheniramine maleate;Dimegan;Antihistaminique;1;;;
Bupropion;Zyban;Antidépresseur;1;;;
Captopril;Lopril, Captea, Ecazide;IEC;1;;;
Carbamazepine;Tegretol;Antiépileptique;2;;;
Carbinoxamine;Non commercialisé en France;Antihistaminique;3;;;
Chlorpheniramine;Drill Rhume, Hexapneumine, Hexarhume, Humex rhume, Hymexlib;Antihistaminique;3;;;
Chlorpromazine;Largactil;Antipsychotique;3;;;
Chlorthalidone;Logroton, Tenoretic;Diurétique thiazidique;1;;;
Cimetidine;Tagamet, Stomedine;Désordres gastro-intestinaux;1;;;
Clemastine;Non commercialisé en France;Antihistaminique;3;;;
Clomipramine;Anafranil;Antidépresseur;3;;;
Clorazepate;Tranxène ;Anxiolytique;1;;;
Clozapine;Leponex;Antipsychotique;3;;;
Codeine;Codenfan, Euphon, Codoliprane;Analgésique;1;;;
Colchicine;Colchimax;Antigoutteux;1;;;
Cyclobenzaprine;Non commercialisé en France;Myorelxant;2;;;
Cyproheptadine;Periactine;Antihistaminique;2;;;
Darifenacin;Non commercialisé en France;Antispasmodique urinaire;3;;;
Desipramine;Non commercialisé en France;Antidépresseur;3;;;
Dextropropoxyphene;Retiré du marché ;Analgésique;1;;;
Diazepam;Valium;Anxiolytique;1;;;
Dicyclomine;Non commercialisé en France;Désordres gastro-intestinaux;3;;;
Digoxine;Digoxine, Hemigoxine;Antiarythmique;1;;;
Dimenhydrate;Nausicalm, Mercalm;Antinauséeux;3;;;
Diphenhydramine;Actifed rhume, Nautamine;Antihistaminique;3;;;
Dipyridamole;Persantine, Cleridium;Antithrombotique;1;;;
Disopyramide;Isorythm, Rythmodan;Antiarythmique;1;;;
Doxepine;Quitaxon;Antidépresseur;3;;;
Fentanyl;Abstral, Actiq, Effentora, Durogesic, Breakyl, Instanyl, Matrifen, Pecfent;Analgésique;1;;;
Flavoxate;Urispas;Antispasmodique urinaire;3;;;
Fluvoxamine;Floxyfral;Antidépresseur;1;;;
Furosemide;Lasilix, Logirene;Diurétique;1;;;
Haloperidol;Haldol;Antipsychotique;1;;;
Hydralazine;Non commercialisé en France;;1;;;
Hydrocortisone;Hydrocortisone;Corticoïde;1;;;
Hydroxyzine;Atarax;Antihistaminique;3;;;
Hyoscyamine;Homéopathie;;3;;;
Imipramine;Tofranil;Antidépresseur;3;;;
Isosorbide;Isocard, Langoran, Monicor, Risordan;Antiarythmique;1;;;
Levomepromazine;Nozinan;Antipsychotique;2;;;
Loperamide;Imodium, Arestal, Diaretyl, Dyspagon, Ercestop, Peracel;Désordres gastro-intestinaux;1;;;
Loxapine;Loxapac;Antipsychotique;2;;;
Meclozine;Agyrax;Antivertigineux/ Antiémétique;3;;;
Meperidine * ;Non commercialisé en France;Analgésique;2;;;
Metoprolol;Logimax, Logroton, Lopressor, Seloken, Selozok;Betabloquant ;1;;;
Molindone;Non commercialisé en France;Antipsychotique;2;;;
Morphine;Actiskenan, Skenan, Oramorph, Sevredol, Moscontin, Morphine;Analgésique;1;;;
Nifedipine;Adalate, Beta adalate, Chronadalate, Tenordate;Inhibiteur calcique;1;;;
Nortriptyline;Nortrilen;Antidépresseur;3;;;
Olanzapine;Zalasta, Zyprexa, Zypadhera;Antipsychotique;3;;;
Orphenadrine;Non commercialisé en France;Myorelxant;3;;;
Oxcarbazepine;Trileptal;Antiépileptique;2;;;
Oxybutynine;Ditropan, Driptane;Antispasmodique urinaire;3;;;
Paroxetine;Deroxat, Divarius;Antidépresseur;3;;;
Perphenazine;Decentan;Antipsychotique;3;;;
Pethidine * ;Retiré du marché (2018);Analgésique;2;;;
Pimozide;Orap;Antipsychotique;2;;;
Prednisolone;;Corticoïde;1;;;
Prednisone;;Corticoïde;1;;;
Procyclidine;"Kemadrine (ATUn) ; Retiré du marché";Antiparkinsonien;3;;;
Promazine;Non commercialisé en France;Antipsychotique;3;;;
Promethazine;Phenergan, Fluisedal, Rhinathiol, Tussisedal;Antihistaminique;3;;;
Propenthéline;Non commercialisé en France;;3;;;
Pyrilamine*;Retiré du marché (2017);Antihistaminique;3;;;
Quetiapine;Xeroquel;Antipsychotique;3;;;
Quinidine;Quinimax;Antipaludéen;1;;;
Ranitidine;Azantac, Raniplex;Désordres gastro-intestinaux;1;;;
Risperidone;Risperdal, Risperdalconsta;Antipsychotique;1;;;
Scopolamine;Scoburen;;3;;;
Theophylline;Dilatrane, Euphylline, Tedralan, Theostat, Xanthium;Antiasthmatique;1;;;
Thioridazine;Retiré du marché (2004);Antipsychotique;3;;;
Tolterodine;Detrusitol;Antispasmodique urinaire;3;;;
Trazodone;Trazolan, Trittico;Antidépresseur;1;;;
Triamterene;Isobar, Prestole;Diurétique;1;;;
Trifluoperazine;Non commercialisé en France;Antipsychotique;3;;;
Trihexyphenidyle;Artane, Parkinane, Trihexy;Antiparkinsonien;3;;;
Trimipramine;Surmontil;Antidépresseur;3;;;
Warfarine;Coumadine ;Anticoagulant;1;;;
;;;;;* Meperidine = Pethidine;
;;;;;* Methotrimeprazine = Levomepromazine;
